Id,CreatedById,CreatedDate,IsDeleted,LastModifiedById,LastModifiedDate,LastReferencedDate,RelatedRecordId,SkillId,SkillLevel,SkillNumber,SystemModstamp
0Hx2o0000001Z3OCAU,0052o000009WYLoAAO,2021-04-29T06:54:35.000+0000,False,0052o000009WYLoAAO,2021-04-29T06:54:35.000+0000,,08q2o0000000HdAAAU,0C52o0000004EnWCAU,,SREQ-32507,2021-04-29T06:54:35.000+0000
0Hx2o000000Cy6zCAC,0052o000009WYLeAAO,2020-05-05T10:25:19.000+0000,False,0052o000009WYLeAAO,2020-05-05T10:25:19.000+0000,,08q2o000000PNA2AAO,0C52o000000TPWjCAO,1.0,SREQ-06,2020-05-05T10:25:19.000+0000
0Hx2o000000Cy74CAC,0052o000009WYLeAAO,2020-05-05T10:25:38.000+0000,False,0052o000009WYLeAAO,2020-05-05T10:25:38.000+0000,,08q2o000000PNA3AAO,0C52o000000TPWtCAO,1.0,SREQ-07,2020-05-05T10:25:38.000+0000
0Hx2o000000Cy6pCAC,0052o000009WYLeAAO,2020-05-05T10:22:38.000+0000,False,0052o000009WYLeAAO,2020-05-05T10:22:38.000+0000,,08q2o000000PNA7AAO,0C52o000000TPWoCAO,1.0,SREQ-04,2020-05-05T10:22:38.000+0000
0Hx2o000000Cy6kCAC,0052o000009WYLeAAO,2020-05-05T10:22:05.000+0000,False,0052o000009WYLeAAO,2020-05-05T10:22:05.000+0000,,08q2o000000PNACAA4,0C52o000000TPWyCAO,1.0,SREQ-03,2020-05-05T10:22:05.000+0000
0Hx2o000000Cy6aCAC,0052o000009WYLeAAO,2020-05-05T10:19:23.000+0000,False,0052o000009WYLeAAO,2020-05-05T10:19:23.000+0000,,08q2o000000PNADAA4,0C52o000000TPX3CAO,1.0,SREQ-01,2020-05-05T10:19:23.000+0000
0Hx2o000000Cy6fCAC,0052o000009WYLeAAO,2020-05-05T10:20:16.000+0000,False,0052o000009WYLeAAO,2020-05-05T10:20:16.000+0000,,08q2o000000PNAHAA4,0C52o000000TPX8CAO,1.0,SREQ-02,2020-05-05T10:20:16.000+0000
